web-scraper-order,web-scraper-start-url,author,title,date,content,rating,label
1580573389-12,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Abhishek Mehta,The Redmi Note 8 Pro is powered by the MediaTek G90T gaming processor.,Reviewed in India on 9 November 2019,"Redmi Note 8 Pro Specifications:

6.53-inch full HD+ (1080p) display | MediaTek G90T octa-core processor | 6GB or 8GB RAM with 64GB or 128GB storage with expandable storage support up to 512GB |  64MP main camera + 8MP ultra-wide + 2MP macro + 2MP depth camera + 20MP camera | 4500 mAh battery with 18W fast charging | MIUI 10 with Android Pie (9) |

Redmi Note 8 Pro Review: Camera

This is the part which Xiaomi is hyping up, given there’s a 64MP camera out here. The automatic resolution is 16MP. The camera produces bright photos with accurate colour tones, even at night. The selfies are impressive on this phone, and it creates a nice depth in Portrait mode, though it is not all perfect with edges on the hair.

Redmi Note 8 Pro Review: Performance, battery

Games like Asphalt 9, Badland, Nova Legacy all ran without any hitches. I switched Asphalt 9 to high graphics settings and the phone had no problems handling it. The graphics looked smooth without any lag. In regular usage, be it just browsing on social media or using the phone to edit photos to keeping 20 tabs open on Chrome, the experience was smooth.

The only issue I noticed, the phone also got warm around the top when gaming for too long. On the battery front, the Redmi Note 8 Pro has a 4500 mAh battery. The 18W fast charger ensures a full charge in under two hours. With moderate usage, you can go up to two days on this phone, while heavy-duty usage means around one and a half days on the device.

The Redmi Note 8 Pro runs MIUI 10 based on Android Pie. Xiaomi has said it will get MIUI 11 by the end of December. It does come with Alexa pre-loaded, though Google Assistant is there as well.

Redmi Note 8 Pro Review: Design, Display

The Redmi Note 8 Pro has a curved back design, though this is a broad and bulky device compared to the previous variant. One reason is the bigger battery. Redmi Note 8 Pro also has a bigger display at 6.53-inches, with the full HD+ resolution. The curved back means it is easier to hold this with one hand, but the size of the device might not always make it possible.

The positioning of the fingerprint sensor right at the bottom of the camera module is not ideal either, because you will end up touching the lens like I did and covering it with smudges. The macro camera is placed away from the other three sensors to the right with flash on top of it. The idea here is to let people use flash to add more light when using macro shots.

The display on the Redmi Note 8 Pro continues to be one of the best for its price. It does come with Widevine L1 certification you can stream content at HD or full HD on YouTube, Netflix, etc. The viewing angles are good, and this is a sharp display, which works well in most scenarios.",5.0 out of 5 stars,quality
1580573618-752,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,dipesh mehta,Great smartphone in affordable price,Reviewed in India on 6 November 2019,"Amazing product
Work great",5.0 out of 5 stars,quality
1580574322-3219,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Rajendra Pawar,Value for money,Reviewed in India on 25 November 2019,"It's Excellent mobile & value for money.
Camera is one of the Best.
Look & feel is very nice.
Overall it's very good mobile.",5.0 out of 5 stars,quality
1580574029-2195,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Awesomeeeèe,Reviewed in India on 29 January 2020,Awesome phone camera is very good. Picture quality and battery  life also very good...,5.0 out of 5 stars,quality
1580574264-3010,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,T CHAW,Good Product,Reviewed in India on 26 January 2020,"GOOD Product, except extra cover given. It does not give protection to camera. Border of camera is getting rub and colour is getting out.",4.0 out of 5 stars,quality
1580573612-740,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Baha Chaudhary (Shusha),Best in this segment.,Reviewed in India on 16 November 2019,"Cons - Fast charging - full charge takes slightly more than 2 hrs. 0 to 80% in 1hr 30min.
  - Battery Life - Not bad but still Mediate is the reason.  4500mah works me easily for a day and 9 - 11 hrs screen on time.
Pros - Lots
Advise - Those who are facing punchy colour and vibrant colour in screen. Change display colour setting to standard.
Final - Pros - Many
  Cons - almost negligible.
Go for it.",5.0 out of 5 stars,quality
1580573943-1903,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,ANKIT3312,Wold no1 mobile,Reviewed in India on 15 November 2019,Awesome Mobile and super camera,5.0 out of 5 stars,quality
1580574046-2259,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Gautama,Pathetic phone,Reviewed in India on 24 November 2019,Worst phone ever ...utter garbage,1.0 out of 5 stars,quality
1580574202-2787,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Biswambar Kayak,"Amazing price, Nice product",Reviewed in India on 20 December 2019,So awesome product. Nice mobile very fast work this mobile. And thanks for MI Redmi.,5.0 out of 5 stars,quality
1580574573-4092,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kham run,At presto best in Market,Reviewed in India on 21 November 2019,Best phone at this time in this price range,5.0 out of 5 stars,quality
1580573402-47,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Abhijeet Pete war,Sensor problem in this phone .... Don't buy,Reviewed in India on 16 November 2019,Guys don't buy this phone...it's has sensor problems...when u received call it's automatically locked and can't open till call is not cut ....I want to give 0 star for it ....,1.0 out of 5 stars,quality
1580574604-4205,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Arum,Review,Reviewed in India on 4 January 2020,Good phone in this range,4.0 out of 5 stars,quality
1580573926-1842,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ranjittimung,sect front camera is 32mp,Reviewed in India on 10 November 2019,Like it but but speedy drain,3.0 out of 5 stars,quality
1580574275-3042,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon customer,awesome,Reviewed in India on 25 January 2020,value for money,5.0 out of 5 stars,quality
1580574472-3743,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sunil halide,Worth for money,Reviewed in India on 20 January 2020,I like the phone very much,5.0 out of 5 stars,quality
1580573879-1677,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kiran Shukla,Awesome,Reviewed in India on 2 January 2020,Wonderful device build quality was awesome without wasting your time in realme or opportunity vivo just go for it mi also gives a best costumer care service all across india??????????????????????????????????????????????????,5.0 out of 5 stars,quality
1580573840-1532,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,kelly,True 64mp beast,Reviewed in India on 19 January 2020,"This phone is beast in performance and battery backup is also good and on playing pubg with 100 percent charge can last more than 3 hrs
In daylight camera is awesome and with 64mp is ultimate
The mobile looks very premium and glossy finish at the back is also awesome",5.0 out of 5 stars,quality
1580573975-2019,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sheeba Umam,Looks fantastic,Reviewed in India on 12 November 2019,Phone is looking so good in white colour but 18w charger is working slow to charge the phone otherwise phone is good.,5.0 out of 5 stars,quality
1580574763-4738,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Prajin,Good,Reviewed in India on 28 January 2020,Good,5.0 out of 5 stars,quality
1580573460-217,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shahnawaz khan,Redmi Note 8 pro 2 weak experience than review,Reviewed in India on 7 November 2019,Nice mobile it battery backup very very best. Best mobile under 15k it best mobile for all thing. It speaker is best and sound quality is well.it camera is superb no any comparison. Is speed is very fast and smoothness. Fast charging in the box 18 what fast charger. 1min me 1 percentage charge mobile. Camera quality very very best. This pictures size is 28MB.,5.0 out of 5 stars,quality
1580574526-3933,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,PRITHVI,Great Value for money,Reviewed in India on 24 December 2019,Good phone. Extremely responsive touch screen. Great camera even in low light.,4.0 out of 5 stars,quality
1580574804-4878,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Manmendar singh,good,Reviewed in India on 23 December 2019,good product,4.0 out of 5 stars,quality
1580574584-4134,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,arsh,Performance-based,Reviewed in India on 1 December 2019,"Super camera and performance
But battery is quite good .
Very smooth gameplay",5.0 out of 5 stars,quality
1580574291-3106,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,PRATIM BOSE,Good one in reasonable price,Reviewed in India on 30 January 2020,Good phone with reasonable Price. Performance is very good. Camera also very good,5.0 out of 5 stars,quality
1580574760-4724,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Bhide,Amazing,Reviewed in India on 19 November 2019,"Best phone at this price
Fast processer
Best design
#mi
????",5.0 out of 5 stars,quality
1580573384-1,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,sanower ali warsi,friensds Read my review before by ones..,Reviewed in India on 10 November 2019,"after using 17 days ..I would like to say ..if you are thinking To by this phone for processors then go for it...I am giving 3-star just for running smoothly. But if you thinking to by for Quad camera then its Bad decision like me...( No detailing in long distance subject in Image. If you go for more than 4x zoom image quality Die. Slow motion video not support to take long time. As well micron lenses not professional ..)
presently I am not happy with camera.. Hope for Future update...",3.0 out of 5 stars,quality
1580573826-1488,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Yash m.,Game changer... All rounder.,Reviewed in India on 18 November 2019,"This is the best mobile phone for all types of person...
Positive points:
Top camera.
Top design
Top protection.
Back glass panel
Killer processor.
So more...
Negative:
I can't find for mine...",5.0 out of 5 stars,quality
1580574273-3036,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Price to value,Reviewed in India on 22 December 2019,"PPI could have been increased to 410
Gaming is good
Heating is minimal
Slow motion videos are ok
Mediatek G90T is as expected",4.0 out of 5 stars,quality
1580574624-4277,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,pawan joshi,Great camera performance,Reviewed in India on 28 January 2020,"Everything is great, great camera but the battery backup of redmi note 8 pro is bad.. rest of the phone is awesome..",4.0 out of 5 stars,quality
1580574590-4159,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Pro 8 .. ??,Reviewed in India on 14 January 2020,A good quality product. Fairly priced. No auto updates. Software can be updated or download according to need.,4.0 out of 5 stars,quality
1580573633-810,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Meghadeep Dasari,Honest Overall Rating,Reviewed in India on 31 December 2019,"I would like to describe this phone to be the best and
in-budget mobile, as it is a reasonable price to get this for 16999 with really good specs. Who's going to give a 64MP with other 4 cameras, 6.53 inch screen and a 8GB RAM for just that price and it is worth it and to be honest most reliable and you use it totally rough gaming 24 hours though and it'll still retain for up to at least an year; And that is good.",5.0 out of 5 stars,quality
1580574786-4814,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Krishna Kangane,Best phone for the price,Reviewed in India on 24 December 2019,"Pros: Best mobile. Good performance. great camera.
Cons: Little bit Heavy",5.0 out of 5 stars,quality
1580574500-3849,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Vipin Patel,Good product,Reviewed in India on 10 November 2019,Good product,4.0 out of 5 stars,quality
1580573717-1103,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Janak Rawal,Beast but Bulky...,Reviewed in India on 16 November 2019,"Redmi Note 8 Pro is super duper fast as far as the configuration goes, but the mobile is bulky in comparison to their earlier version or other brand mobile in the same segment.",4.0 out of 5 stars,quality
1580574621-4266,https://www.amazon.in/Redmi-Note-Pro-Storage-Processor/product-reviews/B07X2KLKRZ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,weight is too much,Reviewed in India on 10 January 2020,"over all mobile is good, except its weight is too much",5.0 out of 5 stars,quality
